"Species","Year","q05","q50","mean","q95"
"COMU",2002,535431.129018077,1058201.65571558,1234151.81019226,2417483.31047933
"COMU",2003,537279.998069936,1054346.27317296,1225612.64428718,2371884.3664401
"COMU",2004,536296.814743177,1060417.78934563,1229054.28731896,2346546.76307812
"COMU",2005,521952.757749663,1067271.41464402,1244970.02857735,2362536.1578963
"COMU",2006,506476.280300613,1079895.46363603,1273671.17773643,2403804.79390602
"COMU",2007,494747.275007352,1090676.84618252,1315339.5993525,2619334.3808123
"COMU",2008,478706.368844919,1105619.46046924,1370052.84602796,2815542.40854847
"COMU",2009,475784.288367128,1125061.81438418,1437811.55295443,3086536.54464184
"COMU",2010,461689.348298386,1152559.30355094,1518604.75468529,3369540.84294105
"COMU",2011,459135.975414465,1178345.74892886,1612544.42181069,3623824.90536186
"COMU",2012,457206.572618523,1208370.61086134,1720082.88204506,3909420.90032005
"COMU",2013,460782.677696737,1249914.13401522,1842300.7055424,4290421.53482123
"COMU",2014,465130.231846981,1294326.69443711,1981231.12264292,4504521.44937578
"COMU",2015,472312.572834671,1343248.68942876,2140184.04004085,5045871.30334294
"COMU",2016,483426.480167899,1392770.01941274,2324053.24735065,5756510.69185894
"COMU",2017,489583.665377756,1443058.02327124,2539627.3144286,6326181.41283886
"COMU",2018,497479.6467627,1506037.61336503,2795965.41339003,7270510.0395969
"COMU",2019,515945.389455365,1576852.65874873,3104936.90834091,8273185.77759592
"COMU",2020,523612.789663666,1652895.94040495,3482064.06889832,9275121.79974078
"COMU",2021,539436.087395888,1743514.62562592,3947871.89018131,10633436.4326821
"COTE",1950,9071.74175257006,24608.1374878817,38506.7431376201,88086.6913229331
"COTE",1951,9337.02508973531,24505.6377155179,37503.8186802151,85796.1992899386
"COTE",1952,9495.47057422482,24315.779636477,36584.4467415907,82262.478533491
"COTE",1953,9687.11342768501,24256.5021727331,35733.7096089359,80477.1841671701
"COTE",1954,9885.2220792697,24182.5302212704,34936.1263115202,77984.4047793441
"COTE",1955,10134.4316815275,24094.6086002892,34176.9751134453,74564.1960205894
"COTE",1956,10288.6568787655,23921.6796265255,33443.4121512618,72132.541947707
"COTE",1957,10464.0758378866,23882.5422551547,32725.3993270119,70158.1979590537
"COTE",1958,10715.491196589,23850.6756217405,32016.3946651235,67324.462109264
"COTE",1959,10924.3495999485,23750.1833401081,31313.7329362042,65471.2003204086
"COTE",1960,11199.5667590163,23667.949710622,30618.6374371062,62973.074071043
"COTE",1961,11497.5251822872,23612.208491082,29935.848571991,59930.2604924785
"COTE",1962,11806.9405695321,23558.0342426879,29272.9148747953,57347.9825006315
"COTE",1963,12128.9394224193,23460.5340237054,28639.2466618077,55346.0388485437
"COTE",1964,12357.0569597619,23402.5103124314,28045.064358104,52336.9285831072
"COTE",1965,12674.1781113203,23381.2373200016,27500.3751234287,50039.3983663762
"COTE",1966,12909.772287094,23390.2805912773,27014.0863895291,47920.3732497245
"COTE",1967,13283.8568958055,23333.1450496798,26593.3248788958,46125.4914909115
"COTE",1968,13668.1807705259,23389.9463657201,26242.9881667743,44702.2515728247
"COTE",1969,14062.2791097306,23394.3305379024,25965.5232246563,43166.4509911364
"COTE",1970,14458.9930109883,23376.8099038974,25760.9072465355,41732.3721279631
"COTE",1971,14835.8024086803,23468.1702480036,25626.7994964577,40361.780453227
"COTE",1972,15204.4335150976,23576.1295659727,25558.8344205833,39227.7356933511
"COTE",1973,15675.9200878499,23696.7025789133,25551.0301094852,38719.096051216
"COTE",1974,16043.5914666371,23847.9284439382,25596.2874621979,37992.4680790696
"COTE",1975,16328.3789899188,24007.1328900634,25686.9513896818,37682.2528502978
"COTE",1976,16735.0647266954,24205.7167914915,25815.3962941712,37594.7431924198
"COTE",1977,16984.9361917058,24461.838161503,25974.5868832799,37367.299000753
"COTE",1978,17372.2613346342,24754.5833836662,26158.557063702,37701.4207023139
"COTE",1979,17770.7223883154,25001.285878525,26362.7494442955,37832.9731151026
"COTE",1980,18076.8395123239,25234.6757766627,26584.1693776776,37862.0697604131
"COTE",1981,18434.7652057103,25473.1518985589,26821.3305815485,37911.487487348
"COTE",1982,18756.2688906477,25756.1264283404,27074.0003293332,38187.738460211
"COTE",1983,19129.5504513464,26044.2639656605,27342.7841938011,38286.5704250944
"COTE",1984,19471.5622770284,26377.2985255853,27628.616034747,38103.817387976
"COTE",1985,19825.8329957233,26676.5777124297,27932.2330484818,38430.8144152465
"COTE",1986,20147.7525022576,27023.8326282407,28253.7164700261,38796.2655821839
"COTE",1987,20456.3732290173,27361.8076646593,28592.1674253498,39279.4409379149
"COTE",1988,20813.7952288155,27746.825536506,28945.5676511761,39614.6150004313
