"Species","Year","q05","q50","mean","q95"
"NOGA",1976,59108.2327668892,64030.7395547074,64209.9630295162,69846.8009533178
"NOGA",1977,60079.9648488734,64890.4171431099,65051.3911096604,70594.0986312684
"NOGA",1978,61093.6293673497,65906.2086276557,66065.1338953524,71618.0911289147
"NOGA",1979,62233.4969419097,67146.7317344441,67269.2913855908,72855.8073441336
"NOGA",1980,63555.7274484425,68540.8094905652,68682.9074091119,74306.813418167
"NOGA",1981,65149.1168067698,70142.2078894993,70325.9535107845,76005.8577270102
"NOGA",1982,66993.1262658058,72041.7955798507,72219.1994469817,77973.5565240782
"NOGA",1983,69010.0682434734,74237.8003882781,74383.9560444471,80225.4132157357
"NOGA",1984,71345.5421016845,76734.6155720634,76841.6825018887,82697.1985633521
"NOGA",1985,74071.2393836509,79436.2728204873,79613.4559604672,85588.6525424317
"NOGA",1986,77151.7904518856,82578.6065829067,82719.3065154469,88864.4876119472
"NOGA",1987,80435.5935569853,85995.2154388889,86177.426149229,92437.2251890882
"NOGA",1988,83972.2472324967,89812.5995965743,90003.265685057,96508.1864786731
"NOGA",1989,87868.9972707567,94072.6012404921,94208.5399398248,101155.997105376
"NOGA",1990,92016.470755434,98693.7289875625,98800.1676422883,106054.303534162
"NOGA",1991,96573.403614865,103672.815211739,103779.178967574,111470.775697592
"NOGA",1992,101428.440920777,109042.163086686,109139.629232262,117515.403521254
"NOGA",1993,106619.216481742,114767.91216237,114867.562108258,123707.408497547
"NOGA",1994,112207.106239081,120834.180501224,120940.069813926,130445.201837694
"NOGA",1995,118103.545366064,127209.643512943,127324.501841037,137313.546272395
"NOGA",1996,124312.116430519,133809.374881798,133977.878947932,144293.642050855
"NOGA",1997,130858.521282048,140725.754078419,140846.576309335,151405.031605945
"NOGA",1998,137861.246800735,147693.832771671,147866.348865455,158812.333504532
"NOGA",1999,144680.212540603,154733.449153281,154962.781375552,166038.634043906
"NOGA",2000,151786.27312814,161835.436129871,162052.251617822,173072.311981328
"NOGA",2001,158888.507162778,168833.837285415,169043.49177553,179975.66279308
"NOGA",2002,165574.019172243,175646.418732395,175839.813563943,186861.026235117
"NOGA",2003,171909.389752739,182089.693673213,182342.02131007,193521.204983627
"NOGA",2004,178062.922802446,188181.261931151,188451.971621892,199893.354764498
"NOGA",2005,183612.633598624,193837.852551527,194076.651794249,205439.917290023
"NOGA",2006,188743.953475969,198886.673961247,199132.552001227,210370.529272765
"NOGA",2007,193246.631862861,203274.578486838,203550.015380429,214665.941403808
"NOGA",2008,197107.09020801,207142.021949808,207277.185726238,218226.615981925
"NOGA",2009,200145.270664411,210249.514527234,210283.153911998,220908.410613495
"NOGA",2010,202760.75857565,212513.000083653,212559.943738094,222743.048730759
"NOGA",2011,204795.533540907,214037.597098667,214123.076420036,223817.339981538
"NOGA",2012,206109.115131329,214978.91487441,215010.597534093,224133.359321466
"NOGA",2013,206745.557240093,215193.215320383,215280.616345637,223819.710514698
"NOGA",2014,206714.792185903,214976.417364665,215007.564326304,223525.976599191
"NOGA",2015,205650.268818399,214292.517812723,214277.498089571,222862.871284106
"NOGA",2016,204029.147527418,213240.078323902,213182.83147053,222269.069207396
"NOGA",2017,201416.435545049,211740.707232347,211816.874911442,222024.036472253
"NOGA",2018,198418.604169606,210231.544720818,210268.494580447,221873.949014375
"NOGA",2019,195040.913836157,208458.793865706,208617.096765476,222259.760280307
"NOGA",2020,191274.560479933,206697.389210321,206928.019263214,222648.644018974
"NOGA",2021,187601.212391244,205156.592620055,205248.296191211,222887.681531414
"RAZO",1950,20785.5116257268,91626.8755412726,385384.868219915,682871.63995679
"RAZO",1951,21055.0003512155,86581.6075156111,294404.757666547,583171.48742418
"RAZO",1952,21373.0350047177,81244.2129323833,231131.673500199,517702.587132452
"RAZO",1953,21553.8854292768,76141.6566775875,186250.799698075,451843.99099798
"RAZO",1954,21634.5161042786,71549.1439525968,153656.373667345,386581.331473748
"RAZO",1955,21845.2784783377,67113.0583479853,129330.053720541,337111.929674999
"RAZO",1956,21775.4824387098,62903.7639880081,110621.330503605,287556.566797659
"RAZO",1957,21791.7986863026,58290.7612264757,95781.5452636627,247498.17501805
"RAZO",1958,21337.1733655428,54378.9183116323,83659.6859365264,212196.0950214
"RAZO",1959,20772.3751815675,50415.9200190912,73501.9923019276,186163.247544882
"RAZO",1960,20393.1899397021,46555.1475633189,64818.4250661316,159040.70407082
"RAZO",1961,19734.2350844354,42901.6191456813,57292.5024452378,135358.966930585
"RAZO",1962,19008.0979373191,39294.996737463,50719.7250019768,112396.125120079
"RAZO",1963,18238.6831563011,36050.7893702371,44965.3954778465,95730.5171858583
"RAZO",1964,17489.208267636,32877.5168591882,39936.082687606,82077.9047589929
"RAZO",1965,16570.1018586571,30131.6004497169,35560.9737416467,69885.7811373539
"RAZO",1966,15810.396741112,27584.4452563754,31780.447330053,60171.9096716582
"RAZO",1967,15083.7543344541,25362.411680881,28539.7975442945,50945.2394309003
"RAZO",1968,14378.2941100306,23400.1123938843,25786.4262476651,43844.7128102748
"RAZO",1969,13874.3727861519,21705.9823737313,23469.1567624595,37994.1583557136
"RAZO",1970,13491.6432647522,20305.3306874334,21538.6544600178,33483.6046333996
"RAZO",1971,13076.7620590253,19044.7415793569,19948.2619024281,29583.6128933205
"RAZO",1972,12847.700592021,18007.8861346683,18654.8380964208,26550.7057753822
"RAZO",1973,12590.0182186952,17121.9064805935,17619.409305299,24084.1821895213
"RAZO",1974,12458.6756006634,16453.1793743806,16807.5843857419,22237.4798737327
"RAZO",1975,12463.0600493845,15928.0652249849,16189.7668193547,20830.5748169691
"RAZO",1976,12425.0192577694,15512.9661503654,15741.2231866706,19655.6639238757
"RAZO",1977,12410.9198427205,15274.389750709,15442.061427179,18941.6604813708
"RAZO",1978,12434.4513480598,15138.4010653404,15277.1485937775,18596.4590830095
"RAZO",1979,12503.7592422274,15104.1042693252,15235.9707090075,18466.4131439136
"RAZO",1980,12585.8697491151,15157.6212294745,15312.4164696967,18475.1114883739
"RAZO",1981,12739.8150377611,15330.5964539144,15504.4570149867,18755.317991481
"RAZO",1982,12974.919885252,15630.1314419527,15813.6962089316,19101.0320235327
"RAZO",1983,13310.526089761,16063.7513027263,16244.7765702825,19590.7389133208
"RAZO",1984,13726.8102234564,16659.7464467608,16804.6401349477,20206.0099066821
"RAZO",1985,14289.213397868,17362.9937978554,17501.6574079942,21052.346008806
"RAZO",1986,14972.3322805003,18194.3424241828,18344.6508283024,22081.3923292747
"RAZO",1987,15789.0044983723,19187.6440665756,19341.8548730539,23275.7953489408
"RAZO",1988,16708.9914732596,20342.1361522783,20499.876664386,24705.1381456807
"RAZO",1989,17785.6622575914,21646.5663399898,21822.7485749846,26372.2251338603
"RAZO",1990,19037.9713542967,23102.0872474512,23311.190782426,28177.3202229095
"RAZO",1991,20346.8200438155,24801.5189873049,24962.2132608553,30151.1846996404
